City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mahesana,IN,2022-06-13 22:04:18,23.6,72.4,84.09,70,33,7.34
68,Torbay,CA,2022-06-13 22:03:20,47.6666,-52.7314,54.28,81,99,5.01
69,Belyy Yar,RU,2022-06-13 22:04:18,53.6039,91.3903,59.86,90,94,0.0
70,Dikson,RU,2022-06-13 22:04:18,73.5069,80.5464,30.18,88,100,12.12
71,Potenza,IT,2022-06-13 22:04:00,40.6443,15.8086,57.9,54,0,2.1
72,Saint Anthony,US,2022-06-13 22:04:19,45.0205,-93.218,81.09,76,40,11.5
73,Richards Bay,ZA,2022-06-13 22:04:19,-28.783,32.0377,63.45,48,92,11.5
74,Cape Town,ZA,2022-06-13 22:03:31,-33.9258,18.4232,57.34,89,100,4.0
75,Saint George,US,2022-06-13 22:00:30,37.1041,-113.5841,95.63,16,0,19.57
76,Hithadhoo,MV,2022-06-13 22:04:20,-0.6,73.0833,83.1,73,59,8.1
77,Upernavik,GL,2022-06-13 22:04:20,72.7868,-56.1549,31.75,82,75,7.61
78,Kaduqli,SD,2022-06-13 22:04:20,11.0167,29.7167,82.72,47,98,1.36
79,Airai,TL,2022-06-13 22:04:21,-8.9266,125.4092,57.96,92,66,3.22
80,Turukhansk,RU,2022-06-13 22:04:21,65.8167,87.9833,58.98,86,69,5.99
81,Imeni Babushkina,RU,2022-06-13 22:04:22,59.7573,43.1285,57.54,79,100,4.34
82,Thompson,CA,2022-06-13 22:04:22,55.7435,-97.8558,78.55,26,75,10.85
83,Codrington,AU,2022-06-13 22:04:22,-38.2667,141.9667,45.34,80,100,11.81
84,Acarau,BR,2022-06-13 22:04:23,-2.8856,-40.12,78.44,80,5,13.51
85,Los Llanos De Aridane,ES,2022-06-13 22:04:23,28.6585,-17.9182,67.75,84,4,3.44
86,Chicama,PE,2022-06-13 22:04:23,-7.8447,-79.1469,63.14,68,9,8.03
87,Zhangye,CN,2022-06-13 22:04:24,38.9342,100.4517,65.79,15,0,7.27
88,Katsuura,JP,2022-06-13 22:04:24,35.1333,140.3,65.52,76,100,15.73
89,Souillac,MU,2022-06-13 22:04:24,-20.5167,57.5167,71.11,69,54,16.2
90,Victoria,HK,2022-06-13 22:00:18,22.2855,114.1577,84.38,87,100,11.01
91,Norman Wells,CA,2022-06-13 22:04:25,65.282,-126.8329,43.68,90,100,8.5
92,Saint-Philippe,RE,2022-06-13 22:05:25,-21.3585,55.7679,67.59,77,52,14.85
93,Hamada,JP,2022-06-13 22:05:26,34.8833,132.0833,62.2,94,100,6.44
94,Bathsheba,BB,2022-06-13 22:05:26,13.2167,-59.5167,79.41,89,20,8.05
95,Vao,NC,2022-06-13 22:05:26,-22.6667,167.4833,72.12,76,100,15.03
96,Lima,PE,2022-06-13 22:03:48,-12.0432,-77.0282,61.9,78,100,12.66
97,Taft,IR,2022-06-13 22:05:27,31.7471,54.2088,80.19,11,0,7.94
98,Hermanus,ZA,2022-06-13 22:05:27,-34.4187,19.2345,52.81,73,100,16.04
99,Kavaratti,IN,2022-06-13 22:04:22,10.5669,72.642,83.55,75,95,13.51
100,Vanimo,PG,2022-06-13 22:05:28,-2.6741,141.3028,78.91,82,20,6.08
101,San Quintin,MX,2022-06-13 22:05:01,30.4833,-115.95,71.13,70,2,19.64
102,Ribeira Grande,PT,2022-06-13 22:05:28,38.5167,-28.7,63.48,81,28,13.15
103,Althofen,AT,2022-06-13 22:05:28,46.8818,14.4676,61.16,84,7,5.3
104,Nalobikha,RU,2022-06-13 22:05:29,53.2006,84.6039,62.96,78,100,5.73
105,Sitka,US,2022-06-13 22:05:05,57.0531,-135.33,53.49,76,100,8.05
106,Puerto Ayora,EC,2022-06-13 22:05:29,-0.7393,-90.3518,76.96,88,45,5.99
107,Korop,UA,2022-06-13 22:05:30,51.5664,32.9586,60.22,87,2,2.8
108,Comodoro Rivadavia,AR,2022-06-13 22:01:03,-45.8667,-67.5,55.33,56,100,14.32
109,Korla,CN,2022-06-13 22:05:30,41.7597,86.1469,82.22,10,3,7.34
110,Aswan,EG,2022-06-13 22:05:30,24.0934,32.907,88.95,23,0,10.49
111,Duayaw Nkwanta,GH,2022-06-13 22:05:31,7.1724,-2.1028,70.47,97,55,3.0
112,Kosh-Agach,RU,2022-06-13 22:05:31,50.0,88.6667,51.15,87,54,1.63
113,Canberra,AU,2022-06-13 22:03:33,-35.2835,149.1281,39.52,91,100,4.61
114,Provideniya,RU,2022-06-13 22:05:32,64.3833,-173.3,41.36,75,100,8.99
115,Bose,IT,2022-06-13 22:05:32,45.4612,8.0137,70.21,77,8,8.12
116,Guaruja,BR,2022-06-13 22:04:56,-23.9931,-46.2564,65.89,26,0,4.52
117,Novikovo,RU,2022-06-13 22:05:33,51.1537,37.8879,62.19,85,5,2.08
118,Chuy,UY,2022-06-13 22:05:33,-33.6971,-53.4616,52.43,90,24,5.06
