City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Ouesso,CG,1.6136,16.0517,69.76,98,100,1.81,overcast clouds
79,Kuznechikha,RU,57.2161,42.3348,60.39,83,84,5.41,broken clouds
80,Khuzdar,PK,27.7384,66.6434,83.12,34,0,2.39,clear sky
81,Cidreira,BR,-30.1811,-50.2056,56.12,90,66,4.92,broken clouds
82,Hithadhoo,MV,-0.6,73.0833,83.16,71,40,7.23,scattered clouds
83,Baracoa,CU,20.3467,-74.4958,79.09,87,65,10.71,broken clouds
84,Ponta Delgada,PT,37.7333,-25.6667,63.32,77,40,5.75,scattered clouds
85,Duluth,US,46.7833,-92.1066,57.04,92,100,20.71,overcast clouds
86,Jamsa,FI,61.8642,25.19,53.15,94,63,2.93,broken clouds
87,Hobart,AU,-42.8794,147.3294,52.27,70,75,9.22,broken clouds
88,Ponta Do Sol,PT,32.6667,-17.1,67.71,63,86,4.34,overcast clouds
89,La Ligua,CL,-32.4524,-71.2311,49.6,90,100,2.13,overcast clouds
90,Qaanaaq,GL,77.484,-69.3632,21.65,83,42,3.36,scattered clouds
91,Hopelchen,MX,19.7667,-89.85,78.71,75,100,6.6,overcast clouds
92,College,US,64.8569,-147.8028,77.0,28,40,3.44,smoke
93,Constitucion,CL,-35.3333,-72.4167,50.52,84,100,7.47,overcast clouds
94,Wajir,KE,1.7471,40.0573,72.19,81,9,7.99,clear sky
95,Kyren,RU,51.6828,102.1408,67.15,70,100,3.33,overcast clouds
96,Maracaibo,VE,10.6317,-71.6406,81.19,71,79,11.77,broken clouds
97,Tura,IN,25.5198,90.2201,74.86,98,100,5.14,moderate rain
98,Kamaishi,JP,39.2667,141.8833,61.36,63,53,6.87,broken clouds
99,Hamilton,US,39.1834,-84.5333,74.43,96,0,6.91,clear sky
100,Tukrah,LY,32.5341,20.5791,71.13,86,14,6.15,few clouds
101,Agde,FR,43.3108,3.4758,71.87,87,0,2.3,clear sky
102,Padang,ID,-0.9492,100.3543,82.45,79,100,1.01,overcast clouds
103,Hasaki,JP,35.7333,140.8333,64.8,73,100,15.01,overcast clouds
104,Lagoa,PT,39.05,-27.9833,62.01,78,100,4.7,overcast clouds
105,Kisangani,CD,0.5167,25.2,69.24,98,88,2.21,overcast clouds
106,Sur,OM,22.5667,59.5289,84.74,71,3,7.25,clear sky
107,Atuona,PF,-9.8,-139.0333,77.13,75,80,18.12,broken clouds
108,Nuristan,AF,35.3,70.8333,53.1,39,0,0.25,clear sky
109,Gazli,UZ,40.1333,63.45,88.0,14,2,7.61,clear sky
110,Coahuayana,MX,18.7333,-103.6833,78.84,86,42,2.59,scattered clouds
111,San Patricio,US,28.017,-97.5169,84.09,76,98,18.59,overcast clouds
112,Ancud,CL,-41.8697,-73.8203,50.23,95,100,8.97,light rain
113,Manturovo,RU,58.3353,44.7619,56.16,71,100,4.94,overcast clouds
114,Stryn,NO,61.9045,6.7226,54.14,88,100,5.32,overcast clouds
115,Nantucket,US,41.2835,-70.0995,69.91,94,100,9.22,fog
116,Hervey Bay,AU,-25.2986,152.8535,70.09,61,57,6.85,broken clouds
117,Port Elizabeth,ZA,-33.918,25.5701,69.94,42,100,23.71,overcast clouds
118,Bical,PH,15.8143,120.4346,90.14,60,52,5.19,broken clouds
119,Atar,MR,20.5169,-13.0499,90.01,34,83,6.24,broken clouds
120,Georgetown,MY,5.4112,100.3354,87.73,70,20,3.44,few clouds
121,Mount Isa,AU,-20.7333,139.5,74.97,19,0,9.22,clear sky
122,Harper,LR,4.375,-7.7169,76.64,76,0,5.95,clear sky
123,Husavik,IS,66.0449,-17.3389,51.3,85,100,8.88,overcast clouds
124,Emerald,AU,-23.5333,148.1667,67.33,46,39,6.33,scattered clouds
125,Bengkulu,ID,-3.8004,102.2655,82.24,67,56,2.21,broken clouds
126,Saskylakh,RU,71.9167,114.0833,72.3,27,100,5.21,overcast clouds
127,Severnyy,RU,50.677,36.5532,62.64,94,6,2.24,clear sky
128,Kysyl-Syr,RU,63.8986,122.7617,55.2,81,100,3.83,light rain
129,Dwarka,IN,22.2394,68.9678,85.03,70,40,4.0,scattered clouds
130,Evensk,RU,61.95,159.2333,49.5,70,0,11.3,clear sky
131,Victoria,HK,22.2855,114.1577,84.96,88,100,20.0,moderate rain
132,Lengshuitan,CN,26.4111,111.5956,83.21,70,57,0.96,broken clouds
133,Airai,TL,-8.9266,125.4092,69.26,70,90,3.87,overcast clouds
134,Ribeira Grande,PT,38.5167,-28.7,63.03,80,100,6.6,overcast clouds
135,Arraial Do Cabo,BR,-22.9661,-42.0278,67.37,81,100,18.86,overcast clouds
136,Arman,RU,59.7,150.1667,52.02,86,100,5.03,overcast clouds
137,Vernon,CA,50.2581,-119.2691,55.62,74,100,6.91,overcast clouds
138,Faanui,PF,-16.4833,-151.75,80.04,70,11,20.6,few clouds
139,Waipawa,NZ,-41.4122,175.5153,53.02,68,51,26.19,broken clouds
140,Borogontsy,RU,62.6683,131.1683,68.09,43,69,7.74,broken clouds
141,Dirba,IN,30.0667,75.9833,100.42,28,0,15.57,clear sky
142,Chokurdakh,RU,70.6333,147.9167,72.68,18,0,18.05,clear sky
143,Ahuimanu,US,21.4447,-157.8378,83.91,70,75,23.02,broken clouds
144,Kampene,CD,-3.6,26.6667,70.61,84,92,1.34,overcast clouds
145,Port Alfred,ZA,-33.5906,26.891,67.17,51,100,3.0,overcast clouds
146,Klaksvik,FO,62.2266,-6.589,49.12,97,99,17.76,light rain
147,Richards Bay,ZA,-28.783,32.0377,60.06,44,15,10.36,few clouds
148,Guiratinga,BR,-16.3494,-53.7583,60.76,41,50,1.9,scattered clouds
149,Suzdal,RU,56.4281,40.4414,60.64,92,80,3.56,broken clouds
150,Sao Filipe,CV,14.8961,-24.4956,73.33,75,60,6.67,broken clouds
151,Dakar,SN,14.6937,-17.4441,76.08,85,70,9.42,broken clouds
152,Kisumu,KE,-0.1022,34.7617,63.18,85,2,4.63,clear sky
153,Qostanay,KZ,53.1667,63.5833,59.29,82,100,11.18,overcast clouds
154,San Jose,US,37.3394,-121.895,71.28,48,0,14.97,clear sky
155,Griffith,US,41.5284,-87.4237,83.3,87,0,6.91,clear sky
156,Chingirlau,KZ,51.095,54.0814,60.42,72,0,4.81,clear sky
157,Kingman,US,35.1894,-114.053,89.08,10,0,12.66,clear sky
158,Beloha,MG,-25.1667,45.05,58.66,76,0,7.36,clear sky
159,Kruisfontein,ZA,-34.0033,24.7314,59.38,39,67,8.84,broken clouds
160,Slidell,US,30.2752,-89.7812,86.0,76,0,11.99,clear sky
161,Butaritari,KI,3.0707,172.7902,82.02,74,13,14.85,few clouds
