City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
301,Makakilo City,US,82.72,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
304,Manzanillo,CU,75.97,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
312,Robertsport,LR,79.36,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
316,Springdale,US,83.79,clear sky,36.1867,-94.1288,Springdale Inn
324,Lorengau,PG,85.57,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
328,Hambantota,LK,84.54,few clouds,6.1241,81.1185,Bungalow 63
329,Tainan,TW,89.38,broken clouds,22.9908,120.2133,Tie Dao Hotel
330,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
332,Aksu,CN,86.59,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
334,Bratsk,RU,75.34,clear sky,56.1325,101.6142,"Gostinitsa ""Shvedka"""
339,Bacong,PH,85.5,overcast clouds,9.2464,123.2956,Sta Monica Beach Club
354,Gilgit,PK,76.26,few clouds,35.9221,74.3087,Tourist Hamlet Gilgit
356,Porbandar,IN,85.12,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
361,Touros,BR,75.27,clear sky,-5.1989,-35.4608,INN NEW HORIZON
362,Acapulco,MX,76.82,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
363,Mount Vernon,US,80.24,scattered clouds,40.9126,-73.8371,Ramada by Wyndham Bronx
364,Keti Bandar,PK,85.14,clear sky,24.1447,67.4497,Haji laloo memon house
370,Matay,EG,76.64,clear sky,28.419,30.7792,Nag Aespen
377,Mayo,US,80.19,clear sky,38.8876,-76.5119,Resorts Resource Group International
379,Lazaro Cardenas,MX,80.55,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
380,Salalah,OM,86.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
384,Asyut,EG,79.25,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
386,Kalmunai,LK,83.32,overcast clouds,7.4167,81.8167,VS Villa
389,Barcelona,ES,77.25,clear sky,41.3888,2.159,Axel Hotel Barcelona
394,Camacari,BR,80.37,overcast clouds,-12.6975,-38.3242,Sítio Blasi
395,Kawalu,ID,82.49,broken clouds,-7.3817,108.2082,West Jontor
402,Kalaleh,IR,81.16,scattered clouds,37.3807,55.4916,عطر و ادکلن پارسیس
403,Panama City,PA,77.29,broken clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
404,Pathein,MM,84.85,overcast clouds,16.7833,94.7333,Pathein Hotel
408,Ormara,PK,82.69,clear sky,25.2088,64.6357,Kenara Colony House for Rent
409,Oranjestad,AW,80.17,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
410,Da Lat,VN,77.34,scattered clouds,11.9465,108.4419,YK Home Villa Dalat
415,Sokone,SN,75.27,broken clouds,13.8833,-16.3667,Hôtel le Caïman
417,Fairbanks,US,77.02,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
423,Manaus,BR,75.69,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
430,Guangshui,CN,84.38,clear sky,31.6199,113.9978,广水市雅瑞假日生态园
431,Kinston,US,82.72,clear sky,35.2627,-77.5816,Hampton Inn Kinston
432,Honiara,SB,86.05,clear sky,-9.4333,159.95,Heritage Park Hotel
434,Kirakira,SB,83.97,scattered clouds,-10.4544,161.9205,SanBiz Lodge
438,Kimbe,PG,89.13,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
439,Isabela,PH,83.7,overcast clouds,6.7085,121.9711,Isawad Resort
443,Seoul,KR,78.24,broken clouds,37.5683,126.9778,롯데호텔 서울
445,Bandarbeyla,SO,81.72,broken clouds,9.4942,50.8122,JABIR HOTEL
454,Deyang,CN,81.66,overcast clouds,31.1302,104.382,Milletholly Resort Hotel
455,Kavaratti,IN,83.53,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
458,Miaga,PH,87.42,overcast clouds,12.2376,123.8167,Magcaraguit Resort
460,Boa Vista,BR,76.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
467,Nishihara,JP,87.85,broken clouds,26.1842,127.7558,Minshuku Agaihama
472,Sinnamary,GF,77.02,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
474,Lufilufi,WS,81.54,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
479,Niamey,NE,84.99,broken clouds,13.5137,2.1098,Soluxe Hotel Niamey
482,High Rock,BS,82.42,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
483,Pringsewu,ID,84.63,overcast clouds,-5.3582,104.9744,Urban Style by Front One
490,Nizwa,OM,83.77,clear sky,22.9333,57.5333,Orient Apartments
491,Westport,US,75.56,clear sky,41.1415,-73.3579,The Westport Inn
493,Trincomalee,LK,83.68,overcast clouds,8.5711,81.2335,Welcombe Hotel
495,Manggar,ID,80.67,overcast clouds,-2.8833,108.2667,Guest Hotel
496,Kieta,PG,84.11,light rain,-6.2167,155.6333,Uruna Bay Retreat
497,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
508,Meulaboh,ID,83.08,broken clouds,4.1363,96.1285,Kost Pria
510,Acarau,BR,76.39,few clouds,-2.8856,-40.12,castelo pizzaria
512,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
514,Zhuji,CN,81.1,broken clouds,29.7188,120.2423,YaoJiang New Century Grand Hotel Zhuji
515,Pokaran,IN,89.2,broken clouds,26.9167,71.9167,Motel Pokaran - RTDC
519,Tabou,CI,75.79,clear sky,4.423,-7.3528,hotêl doufoulougou
523,Maningrida,AU,84.13,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
525,Puerto Colombia,CO,82.49,broken clouds,10.9878,-74.9547,Hotel El Emigrante
540,Rockland,US,77.65,overcast clouds,41.1668,-74.0496,National Camp Association
542,Teahupoo,PF,78.53,scattered clouds,-17.8333,-149.2667,Vanira Lodge
543,Atambua,ID,82.6,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
545,Namatanai,PG,84.72,light rain,-3.6667,152.4333,Seagulls Inn Namatani
547,Kupang,ID,85.19,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
550,Port Lavaca,US,84.97,scattered clouds,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
551,Dingle,PH,88.12,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
552,Baculin,PH,87.1,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
553,Ardakan,IR,88.14,clear sky,32.31,54.0175,Ardakan Hotel
554,Matara,LK,82.08,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
555,Saint Marys,US,84.31,clear sky,30.7305,-81.5465,Spencer House Inn
557,Hadejia,NG,84.7,overcast clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
559,Sampit,ID,88.02,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
568,Ixtapa,MX,81.63,overcast clouds,20.7,-105.2,hotel la terminal
572,Porto Novo,BJ,76.62,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
573,Umm Lajj,SA,82.4,clear sky,25.0213,37.2685,Moon light Furnished Units
574,Noumea,NC,78.78,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
581,Buraydah,SA,85.93,clear sky,26.326,43.975,Mövenpick Qassim
583,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
589,Takoradi,GH,76.89,broken clouds,4.8845,-1.7554,Raybow International Hotel
595,Changping,CN,76.64,broken clouds,40.2186,116.2197,Huachang Hotel
596,Jodhpur,IN,85.51,light rain,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
597,Aransas Pass,US,84.24,scattered clouds,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
605,Morgan City,US,82.02,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
607,Tabuk,PH,87.39,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
610,Yashan,CN,78.13,overcast clouds,22.1975,109.9419,Xin Kaibin Guan
612,Kano,NG,81.05,overcast clouds,12.0001,8.5167,Royal Tropicana Hotel
615,Hanyang,CN,79.07,broken clouds,32.1371,105.5126,Forestry Hostel
619,Vanimo,PG,86.85,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
622,Malpura,IN,86.97,overcast clouds,26.2833,75.3833,Tak House cum Legal Advisory Chambers
626,Saint Andrews,US,89.19,scattered clouds,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
628,Elizabeth City,US,82.42,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
633,Quanzhou,CN,78.22,light rain,24.9139,118.5858,Super 8 Hotel Quanzhou new station shop
634,Banda Aceh,ID,85.06,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
635,Mareeba,AU,77.43,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
639,Mitsamiouli,KM,76.51,clear sky,-11.3847,43.2844,Foyer ADM
642,Biak,ID,81.93,overcast clouds,-0.9131,122.8766,Penginapan Kim
645,Labuhan,ID,83.64,light rain,-6.8844,112.2051,DoubleFAG
654,Jibuti,DJ,86.56,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
655,Karratha,AU,80.53,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
656,Bentiu,SS,77.92,overcast clouds,9.2333,29.8333,Mandela hôtel
661,Havelock,US,80.94,broken clouds,34.8791,-76.9013,Sherwood Motel
667,Ternate,ID,85.5,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
672,Fort-Shevchenko,KZ,75.11,scattered clouds,44.5086,50.263,Oasis hotel Bautino
677,Volchikha,RU,80.02,broken clouds,52.0333,80.3833,Gostinitsa
682,Limon,CR,77.54,broken clouds,10.0,-83.0333,Hotel Playa Bonita
684,Powell,US,75.54,clear sky,40.1578,-83.0752,The Brig
